1	69.7	18.9
2	74.5	19
3	69.5	25.5
4	70.4	31.1
5	67.3	14.4
6	62.9	6.5
7	63.7	9.6
8	63.5	12.9
9	60.4	5.3
10	58.9	5.6
11	60	10.7
12	68.4	22.5
13	67	17.7
14	63.2	14.5
15	59.4	13.5
16	59.3	18.1
17	57.8	14.1
18	57.7	18.3
19	67.4	26.7
20	65	25.5
21	64.3	27.7
22	63.1	21.8
23	62.2	25.7
24	61.1	28.2
25	60.5	22.3
26	54.5	9.6
27	53.6	10
28	54.2	12.1
29	54.1	13.5
30	52.5	9.7
31	52.1	11.6
32	52.4	13.1
33	52.5	13.4
34	52.2	14.1
35	51.4	7
36	51.4	5.1
37	51.3	9.4
38	51.8	10.6
39	51.3	12.4
40	51.1	13.8
41	51.2	15
42	51	11
43	50.4	13
44	53.4	14.6
45	53.1	23.2
46	52.4	16.9
47	52.2	21
48	51.1	16.9
49	50	20
50	47.4	19.2
51	47.5	21.6
52	80.6	58.1
53	79.5	77
54	77.5	82.2
55	77.7	104
56	73.5	80.4
57	72.4	52.7
58	72	102
59	76	138
60	73.2	143
61	70.6	148
62	70.6	162
63	71	178
64	69	33.1
65	68.7	43.3
66	67.1	32.3
67	64.5	40.5
68	63.9	38.1
69	61.7	30.7
70	61.8	34.3
71	61	36.5
72	69.4	86.2
73	68.5	73.6
74	67.6	53
75	67.1	59.4
76	66.5	66.7
77	65.4	52.3
78	65.1	57.1
79	65.8	87.9
80	64.9	77.8
81	63.9	65.1
82	62.7	56.2
83	62.4	60.9
84	61.7	50.8
85	61.3	73.5
86	61.6	90
87	61.7	96.4
88	60.4	56.5
89	60.7	60.5
90	61	69
91	60.4	77.9
92	68.5	102
93	68.5	112
94	68.7	124
95	67.6	133
96	66.3	114
97	66.8	123
98	64.3	100
99	63.8	122
100	63.3	143
101	62.2	118
102	61.3	108
103	60.3	102
104	60.4	120
105	60.8	125
106	62	130
107	60.4	134
108	68.9	179
109	67.3	168
110	66.6	159
111	66.2	170
112	65.7	151
113	64.7	170
114	64.8	178
115	64.4	173
116	62.9	152
117	62.4	166
118	59.6	151
119	60.4	166
120	59.4	24.8
121	60	30.3
122	56.5	21
123	54.9	23.8
124	54.6	25.1
125	54.8	32.1
126	53.9	27.5
127	59.3	39.9
128	57.7	40.9
129	55.8	49.2
130	55.8	37.6
131	55	41.7
132	53.8	39.3
133	59.6	65.7
134	58.5	58.9
135	58	56.2
136	58.2	68.3
137	56.8	53.5
138	56.7	57.8
139	56.8	60.6
140	56.9	74.4
141	56.1	63.7
142	55.5	65.4
143	55	73.4
144	54.7	55.8
145	53.3	50.5
146	58.3	83
147	58.5	92.2
148	58.4	97.5
149	56.5	84.9
150	56	92.8
151	55.3	78.4
152	54.9	99
153	53.4	83.5
154	53.7	91.7
